5	1	2	3	4	5																				
3	1	2	2
6	19	20	17	28	35	4																																																																																																				
84	36	33	7	28	49	27	23	38	49	31	20	27	33	14	48	43	44	2	37	39	17	23	10	31	15	20	7	23	32	31	25	47	5	34	3	37	32	10	43	43	0	1	0	16	40	26	39	16	43	34	31	43	8	17	46	29	32	32	25	1	50	14	41	35	44	6	17	4	7	16	43	40	27	4	13	31	10	6	27	7	16	34	37	47																						
75	23	14	34	25	45	38	19	13	3	37	4	48	17	7	32	28	46	35	25	39	38	24	44	36	5	12	47	21	21	49	36	39	27	1	1	21	38	43	2	7	24	49	28	0	26	17	17	19	10	27	6	30	40	21	1	22	48	39	16	18	23	31	26	37	13	46	18	25	42	18	38	34	4	46	2																															
21	31	49	9	35	49	21	25	44	9	31	2	26	30	31	43	19	20	39	31	5	50																																																																																					
63	12	17	6	33	46	7	20	47	48	10	16	7	34	45	23	2	44	33	35	46	31	28	32	36	40	19	9	27	50	42	30	29	7	12	28	43	8	34	3	11	48	25	3	17	8	0	3	12	47	18	0	26	28	4	38	15	46	13	22	21	4	33	50																																											
76	23	1	4	33	9	41	47	12	1	11	41	9	1	15	4	45	25	3	21	38	25	46	30	26	25	2	12	20	28	12	42	29	21	18	40	9	47	48	18	49	2	10	47	9	34	31	38	2	45	29	46	49	41	41	14	11	18	30	1	26	38	40	9	6	26	46	0	50	33	5	17	41	17	47	0	31																														
63	18	11	41	35	21	30	42	18	42	44	36	37	6	29	15	40	11	23	39	50	6	14	13	21	18	11	33	13	27	44	12	22	34	14	22	42	12	10	9	14	28	35	34	41	33	39	12	43	46	5	18	26	28	2	3	21	14	21	4	30	12	28	46																																											
60	40	7	37	9	2	7	12	40	29	45	35	42	42	12	36	13	30	26	10	33	44	40	9	8	17	7	35	42	11	20	14	31	2	27	0	27	45	10	12	36	4	21	22	43	13	29	24	38	13	24	36	11	21	0	14	49	18	34	25	30																																														
26	34	31	26	10	5	18	46	46	16	11	11	25	27	49	32	8	40	41	25	31	47	20	50	8	33	43																																																																																
69	34	14	37	23	4	3	46	3	16	8	11	11	14	39	6	16	28	10	36	32	41	15	45	10	28	2	12	46	33	50	37	35	4	2	41	9	23	15	22	31	36	50	22	8	29	18	31	4	42	37	28	26	43	38	22	49	29	1	46	29	12	12	32	9	31	17	28	1	1																																					
47	43	27	46	44	39	33	45	34	31	11	15	33	21	48	3	24	25	25	23	33	1	17	34	30	29	4	30	26	20	7	34	47	17	44	12	7	49	12	45	48	2	19	18	0	1	6	32																																																											
100	20	28	20	29	25	26	33	14	42	28	6	10	6	32	17	27	11	10	5	4	23	48	0	44	47	7	30	5	50	49	22	26	11	36	38	49	0	17	48	40	43	35	30	13	9	7	27	32	48	11	47	43	5	13	2	24	20	12	6	17	45	14	39	48	16	17	11	45	33	44	49	13	30	35	25	50	32	47	40	32	39	12	37	49	49	14	11	19	3	23	25	17	13	36	14	33	24	21	27	9						
64	45	1	36	43	20	33	1	47	4	9	0	10	21	37	25	24	19	50	0	43	49	26	28	44	49	11	22	20	40	0	33	4	32	21	46	13	27	18	48	6	20	41	21	27	43	44	49	37	3	37	23	41	32	26	49	23	6	19	0	3	38	4	7	44																																										
76	45	44	18	6	23	1	24	29	30	36	34	30	31	16	7	48	22	45	6	18	40	38	13	3	48	33	32	43	35	41	13	0	2	48	49	13	2	28	35	25	8	25	23	21	40	8	40	46	14	18	14	33	48	36	13	47	15	6	32	11	0	6	18	47	30	41	29	38	13	48	50	8	10	44	24	13																														
